          DH  INJV           Xt           Mt          XMt          NDH
   -66.32176   5.0      0.00000      0.00000      0.00000      0.00000
   -64.00215   5.0      0.00000      0.00000      0.00000      0.00000
   -63.92052   5.0      0.00000      0.00000      0.00000      0.00000
   -63.43428   5.0      0.00000      0.00000      0.00000      0.00000
   -62.53838   5.0      0.00000      0.00000      0.00000      0.00000
   -61.95036   5.0      0.00000      0.00000      0.00000      0.00000
   -59.83369   5.0      0.00000      0.00000      0.00000      0.00000
   -57.51408   5.0      0.00000      0.00000      0.00000      0.00000
   -53.87191   5.0      0.00000      0.00000      0.00000      0.00000
   -47.98861   5.0      0.00000      0.00000      0.00000      0.00000
   -39.66438   5.0      0.00000      0.00000      0.00000      0.00000
   -29.71161   5.0      0.00000      0.00000      0.00000      0.00000
   -20.47070   5.0      0.00000      0.00000      0.00000      0.00000
   -13.67260   5.0      0.00000      0.00000      0.00000      0.00000
    -9.41973   5.0      0.00000      0.00000      0.00000      0.00000
    -6.79666   5.0      0.00000      0.00000      0.00000      0.00000
    -5.49489   5.0      0.00000      0.00000      0.00000      0.00000
    -3.99081   5.0      0.00000      0.00000      0.00000      0.00000
    -2.99439   5.0      0.00000      0.00000      0.00000      0.00000
    -2.61056   5.0      0.00000      0.00000      0.00000      0.00000
    -2.12369   5.0      0.00000      0.00000      0.00000      0.00000
    -1.94280   5.0      0.00000      0.00000      0.00000      0.00000
    -1.66076   5.0      0.00000      0.00000      0.00000      0.00000
    -1.58165   5.0      0.00000      0.00000      0.00000      0.00000
    -1.40077   5.0      0.00000      0.00000      0.00000      0.00000
    -1.32166   5.0      0.00000      0.00000      0.00000      0.00000
    -1.34434   5.0      0.00000      0.00000      0.00000      0.00000
    -1.26523   5.0      0.00000      0.00000      0.00000      0.00000
    -1.08497   5.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
