          DH  INJV           Xt           Mt          XMt          NDH
   -33.33549  10.0      0.00000      0.00000      0.00000      0.00000
   -31.75959  10.0      0.00000      0.00000      0.00000      0.00000
   -27.51183  10.0      0.00000      0.00000      0.00000      0.00000
   -22.41007  10.0      0.00000      0.00000      0.00000      0.00000
   -15.92007  10.0      0.00000      0.00000      0.00000      0.00000
   -10.92440  10.0      0.00000      0.00000      0.00000      0.00000
    -6.78498  10.0      0.00000      0.00000      0.00000      0.00000
    -4.35581  10.0      0.00000      0.00000      0.00000      0.00000
    -2.67454  10.0      0.00000      0.00000      0.00000      0.00000
    -2.16782  10.0      0.00000      0.00000      0.00000      0.00000
    -2.30291  10.0      0.00000      0.00000      0.00000      0.00000
    -1.69009  10.0      0.00000      0.00000      0.00000      0.00000
    -0.75748  10.0      0.00000      0.00000      0.00000      0.00000
    -1.42753  10.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
