          DH  INJV           Xt           Mt          XMt          NDH
   -33.78545  10.0      0.00000      0.00000      0.00000      0.00000
   -32.70437  10.0      0.00000      0.00000      0.00000      0.00000
   -30.91383  10.0      0.00000      0.00000      0.00000      0.00000
   -30.92382  10.0      0.00000      0.00000      0.00000      0.00000
   -22.09773  10.0      0.00000      0.00000      0.00000      0.00000
   -15.83519  10.0      0.00000      0.00000      0.00000      0.00000
   -16.06355  10.0      0.00000      0.00000      0.00000      0.00000
    -9.36408  10.0      0.00000      0.00000      0.00000      0.00000
    -6.53819  10.0      0.00000      0.00000      0.00000      0.00000
    -4.69389  10.0      0.00000      0.00000      0.00000      0.00000
    -4.10429  10.0      0.00000      0.00000      0.00000      0.00000
    -3.40521  10.0      0.00000      0.00000      0.00000      0.00000
    -2.76126  10.0      0.00000      0.00000      0.00000      0.00000
    -3.15364  10.0      0.00000      0.00000      0.00000      0.00000
    -2.83656  10.0      0.00000      0.00000      0.00000      0.00000
    -2.24755  10.0      0.00000      0.00000      0.00000      0.00000
    -2.31267  10.0      0.00000      0.00000      0.00000      0.00000
    -1.99618  10.0      0.00000      0.00000      0.00000      0.00000
    -2.49765  10.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
