          DH  INJV           Xt           Mt          XMt          NDH
   -41.27644   8.0      0.00000      0.00000      0.00000      0.00000
   -40.80460   8.0      0.00000      0.00000      0.00000      0.00000
   -40.51341   8.0      0.00000      0.00000      0.00000      0.00000
   -40.16113   8.0      0.00000      0.00000      0.00000      0.00000
   -39.14921   8.0      0.00000      0.00000      0.00000      0.00000
   -38.61734   8.0      0.00000      0.00000      0.00000      0.00000
   -37.18489   8.0      0.00000      0.00000      0.00000      0.00000
   -35.63290   8.0      0.00000      0.00000      0.00000      0.00000
   -33.54030   8.0      0.00000      0.00000      0.00000      0.00000
   -30.72724   8.0      0.00000      0.00000      0.00000      0.00000
   -27.01387   8.0      0.00000      0.00000      0.00000      0.00000
   -23.48008   8.0      0.00000      0.00000      0.00000      0.00000
   -19.22663   8.0      0.00000      0.00000      0.00000      0.00000
   -15.81345   8.0      0.00000      0.00000      0.00000      0.00000
   -13.00066   8.0      0.00000      0.00000      0.00000      0.00000
   -10.78824   8.0      0.00000      0.00000      0.00000      0.00000
    -9.29629   8.0      0.00000      0.00000      0.00000      0.00000
    -7.98418   8.0      0.00000      0.00000      0.00000      0.00000
    -7.75356   8.0      0.00000      0.00000      0.00000      0.00000
    -6.74244   8.0      0.00000      0.00000      0.00000      0.00000
    -6.27114   8.0      0.00000      0.00000      0.00000      0.00000
    -6.28067   8.0      0.00000      0.00000      0.00000      0.00000
    -5.92970   8.0      0.00000      0.00000      0.00000      0.00000
    -5.39889   8.0      0.00000      0.00000      0.00000      0.00000
    -5.70861   8.0      0.00000      0.00000      0.00000      0.00000
    -5.71787   8.0      0.00000      0.00000      0.00000      0.00000
    -5.42774   8.0      0.00000      0.00000      0.00000      0.00000
    -5.19712   8.0      0.00000      0.00000      0.00000      0.00000
    -5.38676   8.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
