          DH  INJV           Xt           Mt          XMt          NDH
   -17.68347   4.5      0.00000      0.00000      0.00000      0.00000
   -21.27611   4.5      0.00000      0.00000      0.00000      0.00000
   -20.92418   4.5      0.00000      0.00000      0.00000      0.00000
   -19.86254   4.5      0.00000      0.00000      0.00000      0.00000
   -19.90541   4.5      0.00000      0.00000      0.00000      0.00000
   -19.71084   4.5      0.00000      0.00000      0.00000      0.00000
   -19.63297   4.5      0.00000      0.00000      0.00000      0.00000
   -17.42779   4.5      0.00000      0.00000      0.00000      0.00000
   -16.24743   4.5      0.00000      0.00000      0.00000      0.00000
   -14.27868   4.5      0.00000      0.00000      0.00000      0.00000
   -11.99461   4.5      0.00000      0.00000      0.00000      0.00000
    -9.19763   4.5      0.00000      0.00000      0.00000      0.00000
    -6.91357   4.5      0.00000      0.00000      0.00000      0.00000
    -5.57586   4.5      0.00000      0.00000      0.00000      0.00000
    -4.47478   4.5      0.00000      0.00000      0.00000      0.00000
    -3.09803   4.5      0.00000      0.00000      0.00000      0.00000
    -2.54930   4.5      0.00000      0.00000      0.00000      0.00000
    -2.19637   4.5      0.00000      0.00000      0.00000      0.00000
    -1.84343   4.5      0.00000      0.00000      0.00000      0.00000
    -1.53013   4.5      0.00000      0.00000      0.00000      0.00000
    -1.29592   4.5      0.00000      0.00000      0.00000      0.00000
    -1.21987   4.5      0.00000      0.00000      0.00000      0.00000
    -1.22229   4.5      0.00000      0.00000      0.00000      0.00000
    -1.22451   4.5      0.00000      0.00000      0.00000      0.00000
    -1.22572   4.5      0.00000      0.00000      0.00000      0.00000
    -0.87218   4.5      0.00000      0.00000      0.00000      0.00000
    -0.51844   4.5      0.00000      0.00000      0.00000      0.00000
    -0.75689   4.5      0.00000      0.00000      0.00000      0.00000
    -0.99534   4.5      0.00000      0.00000      0.00000      0.00000
    -0.91848   4.5      0.00000      0.00000      0.00000      0.00000
    -0.76234   4.5      0.00000      0.00000      0.00000      0.00000
    -0.64564   4.5      0.00000      0.00000      0.00000      0.00000
    -0.56837   4.5      0.00000      0.00000      0.00000      0.00000
    -0.49091   4.5      0.00000      0.00000      0.00000      0.00000
    -0.49232   4.5      0.00000      0.00000      0.00000      0.00000
    -0.53317   4.5      0.00000      0.00000      0.00000      0.00000
    -0.49515   4.5      0.00000      0.00000      0.00000      0.00000
    -0.53620   4.5      0.00000      0.00000      0.00000      0.00000
    -0.65614   4.5      0.00000      0.00000      0.00000      0.00000
    -0.73704   4.5      0.00000      0.00000      0.00000      0.00000
    -0.54145   4.5      0.00000      0.00000      0.00000      0.00000
    -0.38531   4.5      0.00000      0.00000      0.00000      0.00000
    -0.38672   4.5      0.00000      0.00000      0.00000      0.00000
    -0.38854   4.5      0.00000      0.00000      0.00000      0.00000
    -0.39016   4.5      0.00000      0.00000      0.00000      0.00000
    -0.39177   4.5      0.00000      0.00000      0.00000      0.00000
    -0.39339   4.5      0.00000      0.00000      0.00000      0.00000
    -0.39500   4.5      0.00000      0.00000      0.00000      0.00000
    -0.47550   4.5      0.00000      0.00000      0.00000      0.00000
    -0.59644   4.5      0.00000      0.00000      0.00000      0.00000
    -0.44070   4.5      0.00000      0.00000      0.00000      0.00000
    -0.24512   4.5      0.00000      0.00000      0.00000      0.00000
    -0.32581   4.5      0.00000      0.00000      0.00000      0.00000
    -0.32783   4.5      0.00000      0.00000      0.00000      0.00000
    -0.32985   4.5      0.00000      0.00000      0.00000      0.00000
    -0.33147   4.5      0.00000      0.00000      0.00000      0.00000
    -0.33308   4.5      0.00000      0.00000      0.00000      0.00000
    -0.33470   4.5      0.00000      0.00000      0.00000      0.00000
    -0.33631   4.5      0.00000      0.00000      0.00000      0.00000
    -0.33793   4.5      0.00000      0.00000      0.00000      0.00000
    -0.33995   4.5      0.00000      0.00000      0.00000      0.00000
    -0.22365   4.5      0.00000      0.00000      0.00000      0.00000
    -0.22769   4.5      0.00000      0.00000      0.00000      0.00000
    -0.34843   4.5      0.00000      0.00000      0.00000      0.00000
    -0.35025   4.5      0.00000      0.00000      0.00000      0.00000
    -0.35206   4.5      0.00000      0.00000      0.00000      0.00000
    -0.35408   4.5      0.00000      0.00000      0.00000      0.00000
    -0.35610   4.5      0.00000      0.00000      0.00000      0.00000
    -0.35812   4.5      0.00000      0.00000      0.00000      0.00000
    -0.35973   4.5      0.00000      0.00000      0.00000      0.00000
    -0.36135   4.5      0.00000      0.00000      0.00000      0.00000
    -0.36337   4.5      0.00000      0.00000      0.00000      0.00000
    -0.36579   4.5      0.00000      0.00000      0.00000      0.00000
    -0.28934   4.5      0.00000      0.00000      0.00000      0.00000
    -0.17304   4.5      0.00000      0.00000      0.00000      0.00000
    -0.17506   4.5      0.00000      0.00000      0.00000      0.00000
    -0.25575   4.5      0.00000      0.00000      0.00000      0.00000
    -0.45477   4.5      0.00000      0.00000      0.00000      0.00000
    -0.53587   4.5      0.00000      0.00000      0.00000      0.00000
    -0.49865   4.5      0.00000      0.00000      0.00000      0.00000
    -0.34291   4.5      0.00000      0.00000      0.00000      0.00000
    -0.30529   4.5      0.00000      0.00000      0.00000      0.00000
    -0.22822   4.5      0.00000      0.00000      0.00000      0.00000
    -0.23024   4.5      0.00000      0.00000      0.00000      0.00000
    -0.27170   4.5      0.00000      0.00000      0.00000      0.00000
    -0.35260   4.5      0.00000      0.00000      0.00000      0.00000
    -0.35462   4.5      0.00000      0.00000      0.00000      0.00000
    -0.23792   4.5      0.00000      0.00000      0.00000      0.00000
    -0.20009   4.5      0.00000      0.00000      0.00000      0.00000
    -0.20171   4.5      0.00000      0.00000      0.00000      0.00000
    -0.24256   4.5      0.00000      0.00000      0.00000      0.00000
    -0.24397   4.5      0.00000      0.00000      0.00000      0.00000
    -0.24559   4.5      0.00000      0.00000      0.00000      0.00000
    -0.24720   4.5      0.00000      0.00000      0.00000      0.00000
    -0.24922   4.5      0.00000      0.00000      0.00000      0.00000
    -0.21140   4.5      0.00000      0.00000      0.00000      0.00000
    -0.21301   4.5      0.00000      0.00000      0.00000      0.00000
    -0.21463   4.5      0.00000      0.00000      0.00000      0.00000
    -0.17681   4.5      0.00000      0.00000      0.00000      0.00000
    -0.17822   4.5      0.00000      0.00000      0.00000      0.00000
    -0.21907   4.5      0.00000      0.00000      0.00000      0.00000
    -0.18105   4.5      0.00000      0.00000      0.00000      0.00000
    -0.18246   4.5      0.00000      0.00000      0.00000      0.00000
    -0.18367   4.5      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
