          DH  INJV           Xt           Mt          XMt          NDH
   -40.53010  10.0      0.00000      0.00000      0.00000      0.00000
   -40.10738  10.0      0.00000      0.00000      0.00000      0.00000
   -40.12674  10.0      0.00000      0.00000      0.00000      0.00000
   -40.46187  10.0      0.00000      0.00000      0.00000      0.00000
   -39.53440  10.0      0.00000      0.00000      0.00000      0.00000
   -38.03804  10.0      0.00000      0.00000      0.00000      0.00000
   -37.23688  10.0      0.00000      0.00000      0.00000      0.00000
   -36.49887  10.0      0.00000      0.00000      0.00000      0.00000
   -33.99302  10.0      0.00000      0.00000      0.00000      0.00000
   -30.22357  10.0      0.00000      0.00000      0.00000      0.00000
   -26.51777  10.0      0.00000      0.00000      0.00000      0.00000
   -21.35940  10.0      0.00000      0.00000      0.00000      0.00000
   -15.82260  10.0      0.00000      0.00000      0.00000      0.00000
   -11.80052  10.0      0.00000      0.00000      0.00000      0.00000
    -8.60145  10.0      0.00000      0.00000      0.00000      0.00000
    -6.22191  10.0      0.00000      0.00000      0.00000      0.00000
    -5.23327  10.0      0.00000      0.00000      0.00000      0.00000
    -3.92786  10.0      0.00000      0.00000      0.00000      0.00000
    -2.81242  10.0      0.00000      0.00000      0.00000      0.00000
    -2.64479  10.0      0.00000      0.00000      0.00000      0.00000
    -2.09824  10.0      0.00000      0.00000      0.00000      0.00000
    -1.93012  10.0      0.00000      0.00000      0.00000      0.00000
    -1.76299  10.0      0.00000      0.00000      0.00000      0.00000
    -1.40640  10.0      0.00000      0.00000      0.00000      0.00000
    -1.49140  10.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
