          DH  INJV           Xt           Mt          XMt          NDH
   -27.07101   3.0      0.00000      0.00000      0.00000      0.00000
   -26.90887   3.0      0.00000      0.00000      0.00000      0.00000
   -26.57778   3.0      0.00000      0.00000      0.00000      0.00000
   -26.41066   3.0      0.00000      0.00000      0.00000      0.00000
   -26.33274   3.0      0.00000      0.00000      0.00000      0.00000
   -25.91796   3.0      0.00000      0.00000      0.00000      0.00000
   -25.70847   3.0      0.00000      0.00000      0.00000      0.00000
   -24.99866   3.0      0.00000      0.00000      0.00000      0.00000
   -25.13181   3.0      0.00000      0.00000      0.00000      0.00000
   -24.21199   3.0      0.00000      0.00000      0.00000      0.00000
   -23.12400   3.0      0.00000      0.00000      0.00000      0.00000
   -22.07786   3.0      0.00000      0.00000      0.00000      0.00000
   -20.44246   3.0      0.00000      0.00000      0.00000      0.00000
   -18.17517   3.0      0.00000      0.00000      0.00000      0.00000
   -16.11869   3.0      0.00000      0.00000      0.00000      0.00000
   -13.34637   3.0      0.00000      0.00000      0.00000      0.00000
   -10.74221   3.0      0.00000      0.00000      0.00000      0.00000
    -8.55914   3.0      0.00000      0.00000      0.00000      0.00000
    -6.79742   3.0      0.00000      0.00000      0.00000      0.00000
    -5.33072   3.0      0.00000      0.00000      0.00000      0.00000
    -4.32668   3.0      0.00000      0.00000      0.00000      0.00000
    -3.53345   3.0      0.00000      0.00000      0.00000      0.00000
    -2.86706   3.0      0.00000      0.00000      0.00000      0.00000
    -2.53650   3.0      0.00000      0.00000      0.00000      0.00000
    -2.24909   3.0      0.00000      0.00000      0.00000      0.00000
    -1.87589   3.0      0.00000      0.00000      0.00000      0.00000
    -1.58743   3.0      0.00000      0.00000      0.00000      0.00000
    -1.34265   3.0      0.00000      0.00000      0.00000      0.00000
    -1.35000   3.0      0.00000      0.00000      0.00000      0.00000
    -1.18734   3.0      0.00000      0.00000      0.00000      0.00000
    -1.11153   3.0      0.00000      0.00000      0.00000      0.00000
    -0.90781   3.0      0.00000      0.00000      0.00000      0.00000
    -0.83042   3.0      0.00000      0.00000      0.00000      0.00000
    -0.87935   3.0      0.00000      0.00000      0.00000      0.00000
    -0.76011   3.0      0.00000      0.00000      0.00000      0.00000
    -0.76720   3.0      0.00000      0.00000      0.00000      0.00000
    -0.64822   3.0      0.00000      0.00000      0.00000      0.00000
    -0.61268   3.0      0.00000      0.00000      0.00000      0.00000
    -0.74583   3.0      0.00000      0.00000      0.00000      0.00000
    -0.58474   3.0      0.00000      0.00000      0.00000      0.00000
    -0.54972   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
