          DH  INJV           Xt           Mt          XMt          NDH
    -8.98983  10.0      0.00000      0.00000      0.00000      0.00000
    -9.18863  10.0      0.00000      0.00000      0.00000      0.00000
    -8.93102  10.0      0.00000      0.00000      0.00000      0.00000
    -8.72541  10.0      0.00000      0.00000      0.00000      0.00000
    -8.59814  10.0      0.00000      0.00000      0.00000      0.00000
    -8.58826  10.0      0.00000      0.00000      0.00000      0.00000
    -8.04362  10.0      0.00000      0.00000      0.00000      0.00000
    -7.83810  10.0      0.00000      0.00000      0.00000      0.00000
    -8.02404  10.0      0.00000      0.00000      0.00000      0.00000
    -7.30995  10.0      0.00000      0.00000      0.00000      0.00000
    -6.51760  10.0      0.00000      0.00000      0.00000      0.00000
    -6.07730  10.0      0.00000      0.00000      0.00000      0.00000
    -5.80685  10.0      0.00000      0.00000      0.00000      0.00000
    -5.10570  10.0      0.00000      0.00000      0.00000      0.00000
    -4.60047  10.0      0.00000      0.00000      0.00000      0.00000
    -3.88647  10.0      0.00000      0.00000      0.00000      0.00000
    -3.21178  10.0      0.00000      0.00000      0.00000      0.00000
    -3.03253  10.0      0.00000      0.00000      0.00000      0.00000
    -2.90545  10.0      0.00000      0.00000      0.00000      0.00000
    -2.58291  10.0      0.00000      0.00000      0.00000      0.00000
    -2.16899  10.0      0.00000      0.00000      0.00000      0.00000
    -1.80732  10.0      0.00000      0.00000      0.00000      0.00000
    -1.86302  10.0      0.00000      0.00000      0.00000      0.00000
    -1.78820  10.0      0.00000      0.00000      0.00000      0.00000
    -1.67444  10.0      0.00000      0.00000      0.00000      0.00000
    -1.67816  10.0      0.00000      0.00000      0.00000      0.00000
    -1.34258  10.0      0.00000      0.00000      0.00000      0.00000
    -1.22873  10.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
