                                             N           N_std          DeltaG      DeltaG_std          DeltaH      DeltaH_std          DeltaS      DeltaS_std              P0          P0_std
ubtln59a21082014                  0.9460000000    0.0039000000   -9.1611462786    0.0536547021   -5.2080000000    0.0340100000    0.0132589176    0.0002130660    0.0283800000    0.0001170000
ubtln59b                          0.7630000000    0.0029700000   -9.2693592828    0.0508795221   -5.3290000000    0.0329500000    0.0132160298    0.0002033106    0.0228900000    0.0000891000
ubtln59c                          0.7610000000    0.0032900000   -9.3298786998    0.0595060924   -5.2770000000    0.0367700000    0.0135934218    0.0002346136    0.0228300000    0.0000987000
ubtln59d                          0.7380000000    0.0037000000   -9.2529672798    0.0627682025   -5.3790000000    0.0423100000    0.0129933499    0.0002538878    0.0221400000    0.0001110000
ubtln59a                          0.7940000000    0.0145000000   -9.1944407060    0.2309503991   -5.4565069800    0.1767927382    0.0125370911    0.0009755159    0.0238200000    0.0004350000
ubtln59altesProtein               0.7330000000    0.0114000000   -9.1645611867    0.1872797105   -4.4502917200    0.1058557574    0.0158117373    0.0007215356    0.0219900000    0.0003420000
ubtln59b21082014                  0.9240000000    0.0092400000   -9.3559169536    0.1553115764   -5.4230461400    0.0884322200    0.0131909133    0.0005994402    0.0277200000    0.0002772000
ubtln59c21082014                  0.9490000000    0.0114000000   -9.2655429417    0.1761182909   -5.2198910400    0.1007888302    0.0135691830    0.0006805930    0.0284700000    0.0003420000
ubtln59neuesProtein               0.9190000000    0.0120000000   -9.1746893803    0.1740633612   -5.0788775000    0.1038003058    0.0137374204    0.0006797372    0.0275700000    0.0003600000
