                                             N           N_std          DeltaG      DeltaG_std          DeltaH      DeltaH_std          DeltaS      DeltaS_std              P0          P0_std
ubtln35L                          0.7750000000    0.0101000000   -8.9887932834    0.1449144774   -6.1270000000    0.1274000000    0.0095985017    0.0006471685    0.0232500000    0.0003030000
ubtln35m                          0.7090000000    0.0033000000   -8.9872642893    0.0463883528   -6.3130000000    0.0437900000    0.0089695264    0.0002139601    0.0212700000    0.0000990000
ubtln35o                          0.7550000000    0.0031100000   -8.9460588990    0.0408666872   -6.4020000000    0.0392000000    0.0085328154    0.0001899311    0.0226500000    0.0000933000
18052014ubtln35test1              0.5700000000    0.0104000000   -8.9622480182    0.1692814007   -5.7218036400    0.1526770328    0.0108685037    0.0007645868    0.0171000000    0.0003120000
18052014ubtln35test2              0.6270000000    0.0143000000   -8.7628932980    0.1849000054   -5.5377690200    0.1790393946    0.0108171198    0.0008632480    0.0188100000    0.0004290000
19052014ubtln35test1              0.5580000000    0.0101000000   -8.8422880402    0.1486100745   -5.1027781000    0.1318596102    0.0125423778    0.0006663605    0.0167400000    0.0003030000
19052014ubtln35test2              0.4820000000    0.0099000000   -9.1160957334    0.1995479297   -5.9608096400    0.1815967588    0.0105828814    0.0009049430    0.0144600000    0.0002970000
ubtln35k                          0.7460000000    0.0125000000   -8.9701796615    0.1749091068   -6.5965656000    0.1637908118    0.0079611406    0.0008037096    0.0223800000    0.0003750000
ubtln35test1                      0.7310000000    0.0106000000   -8.9764494015    0.1507718160   -4.8948428800    0.1178777592    0.0136897754    0.0006419004    0.0219300000    0.0003180000
ubtln35test2                      0.6800000000    0.0154000000   -8.8910643274    0.2107013179   -5.3322238600    0.1752152986    0.0119364094    0.0009191195    0.0204000000    0.0004620000
