DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-3.27098	1.5	5.8694E-4	0.02996	0.11799	-5432.54443	-102.27667	-5330.26777
-3.23977	1.5	0.00351	0.02974	0.21711	-5364.50209	-53.48359	-5311.0185
-3.1862	1.5	0.00641	0.02952	0.31694	-5259.08089	19.56852	-5278.64941
-3.15985	1.5	0.00929	0.0293	0.4175	-5198.90257	19.73372	-5218.6363
-3.04203	1.5	0.01214	0.02909	0.51877	-4986.14873	103.79094	-5089.93967
-2.8513	1.5	0.01498	0.02888	0.62077	-4651.78589	100.15431	-4751.9402
-2.39615	1.5	0.01779	0.02866	0.72348	-3876.58126	-138.14415	-3738.43711
-1.16193	1.5	0.02059	0.02845	0.82691	-1802.82883	77.27373	-1880.10257
-0.48986	1.5	0.02336	0.02825	0.93105	-665.86963	39.65912	-705.52875
-0.2919	1.5	0.02611	0.02804	1.03592	-318.981	-9.31295	-309.66805
-0.2693	1.5	0.02883	0.02783	1.14151	-264.23481	-98.42649	-165.80832
-0.23723	1.5	0.03154	0.02763	1.24781	-193.58231	-92.11445	-101.46787
-0.22395	1.5	0.03422	0.02743	1.35484	-154.14156	-86.32778	-67.81377
-0.2175	1.5	0.03689	0.02723	1.46258	-125.97894	-77.821	-48.15794
-0.22225	1.5	0.03953	0.02703	1.57104	-116.35881	-80.63896	-35.71985
-0.17629	1.5	0.04215	0.02683	1.68022	-22.08806	5.26908	-27.35714
-0.1552	1.5	0.04475	0.02663	1.79012	30.82507	52.28567	-21.46059
-0.1567	1.5	0.04732	0.02644	1.90073	46.21194	63.35164	-17.13971
-0.17638	1.5	0.04988	0.02624	2.01207	31.41407	45.28445	-13.87038
	--	0.05241	0.02605	--			
