DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-3.07758	1.5	0.00351	0.02974	0.21711	-5129.30151	-4793.704	-335.59751
-2.68871	1.5	0.00641	0.02952	0.31694	-4481.17746	-4747.39256	266.2151
-2.63345	1.5	0.00929	0.0293	0.4175	-4389.08425	-4662.8203	273.73605
-2.80095	1.5	0.01214	0.02909	0.51877	-4668.24788	-4488.29297	-179.95491
-2.42671	1.5	0.01498	0.02888	0.62077	-4044.51519	-4076.05462	31.53943
-1.95833	1.5	0.01779	0.02866	0.72348	-3263.88409	-3109.13981	-154.74428
-0.88597	1.5	0.02059	0.02845	0.82691	-1476.62333	-1702.235	225.61167
-0.5266	1.5	0.02336	0.02825	0.93105	-877.67059	-770.15395	-107.51664
-0.3117	1.5	0.02611	0.02804	1.03592	-519.49331	-379.2902	-140.20312
-0.22374	1.5	0.02883	0.02783	1.14151	-372.90503	-214.77449	-158.13055
-0.03074	1.5	0.03154	0.02763	1.24781	-51.2316	-135.46804	84.23644
-0.05905	1.5	0.03422	0.02743	1.35484	-98.41065	-92.25036	-6.16029
-0.07384	1.5	0.03689	0.02723	1.46258	-123.07445	-66.38336	-56.69109
0.0102	1.5	0.03953	0.02703	1.57104	17.00499	-49.75926	66.76425
0.01165	1.5	0.04215	0.02683	1.68022	19.41527	-38.46944	57.88472
-0.02731	1.5	0.04475	0.02663	1.79012	-45.51254	-30.45839	-15.05415
0.10611	1.5	0.04732	0.02644	1.90073	176.84772	-24.56689	201.41461
0.0663	1.5	0.04988	0.02624	2.01207	110.50532	-20.10304	130.60836
-0.095	1.5	0.05241	0.02605	2.12413	-158.32588	-16.63401	-141.69187
	--	0.05493	0.02586	--			
