DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-2.87057	1.3	5.8694E-4	0.02996	0.10483	-5520.32057	-5845.63915	325.31858
-3.09933	1.3	0.00312	0.02977	0.19061	-5960.2572	-5782.25097	-178.00623
-2.98271	1.3	0.00564	0.02958	0.27692	-5735.98869	-5651.17311	-84.81557
-2.84434	1.3	0.00814	0.02939	0.36378	-5469.87525	-5327.0583	-142.81694
-2.26145	1.3	0.01062	0.0292	0.45118	-4348.9443	-4399.75581	50.81151
-1.22251	1.3	0.01309	0.02902	0.53911	-2350.97801	-2496.19721	145.2192
-0.7049	1.3	0.01554	0.02883	0.62759	-1355.56976	-997.21313	-358.35664
-0.06991	1.3	0.01798	0.02865	0.71661	-134.43808	-431.59404	297.15596
-0.15174	1.3	0.0204	0.02847	0.80616	-291.80559	-226.44718	-65.35841
-0.06834	1.3	0.0228	0.02829	0.89626	-131.42583	-136.62737	5.20154
0.11432	1.3	0.02519	0.02811	0.98689	219.84618	-90.52662	310.37279
-0.00778	1.3	0.02756	0.02793	1.07807	-14.95684	-64.00763	49.05078
0.01356	1.3	0.02992	0.02775	1.16979	26.07151	-47.43619	73.5077
-0.14481	1.3	0.03226	0.02758	1.26204	-278.48374	-36.41629	-242.06745
0.01701	1.3	0.03458	0.0274	1.35484	32.7051	-28.72536	61.43046
-0.27728	1.3	0.03689	0.02723	1.44817	-533.23601	-23.14629	-510.08972
0.22807	1.3	0.03918	0.02705	1.54205	438.59059	-18.96891	457.5595
0.04323	1.3	0.04145	0.02688	1.63646	83.13323	-15.75691	98.89014
	--	0.04371	0.02671	--			
