DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-3.33564	1.5	5.8694E-4	0.02996	0.11799	-5559.39331	-5603.67564	44.28233
-3.34888	1.5	0.00351	0.02974	0.21711	-5581.47137	-5540.91315	-40.55821
-3.2778	1.5	0.00641	0.02952	0.31694	-5462.99444	-5415.42075	-47.57368
-3.09408	1.5	0.00929	0.0293	0.4175	-5156.80763	-5121.51148	-35.29614
-2.54829	1.5	0.01214	0.02909	0.51877	-4247.14261	-4333.68532	86.54271
-1.56541	1.5	0.01498	0.02888	0.62077	-2609.00997	-2674.06359	65.05361
-0.87765	1.5	0.01779	0.02866	0.72348	-1462.75443	-1157.19874	-305.55569
-0.13821	1.5	0.02059	0.02845	0.82691	-230.34651	-506.95449	276.60799
-0.04377	1.5	0.02336	0.02825	0.93105	-72.95325	-263.67826	190.72501
-0.01014	1.5	0.02611	0.02804	1.03592	-16.89902	-157.50261	140.60358
-0.08498	1.5	0.02883	0.02783	1.14151	-141.63383	-103.46603	-38.1678
0.15346	1.5	0.03154	0.02763	1.24781	255.76036	-72.62968	328.39004
-0.06159	1.5	0.03422	0.02743	1.35484	-102.65051	-53.48819	-49.16232
-0.18731	1.5	0.03689	0.02723	1.46258	-312.17641	-40.82706	-271.34936
0.03378	1.5	0.03953	0.02703	1.57104	56.30178	-32.02773	88.32951
0.14335	1.5	0.04215	0.02683	1.68022	238.90951	-25.66509	264.5746
-0.19512	1.5	0.04475	0.02663	1.79012	-325.1959	-20.91209	-304.28381
-0.16825	1.5	0.04732	0.02644	1.90073	-280.41839	-17.26305	-263.15534
-0.01854	1.5	0.04988	0.02624	2.01207	-30.89262	-14.39514	-16.49748
0.1662	1.5	0.05241	0.02605	2.12413	277.008	-12.09463	289.10263
-0.22362	1.5	0.05493	0.02586	2.2369	-372.7074	-10.21562	-362.49178
0.01998	1.5	0.05742	0.02567	2.35039	33.2921	-8.65582	41.94792
-0.00595	1.5	0.05988	0.02548	2.4646	-9.91281	-7.34183	-2.57098
0.26464	1.5	0.06233	0.02529	2.57953	441.06764	-6.21992	447.28756
0.02457	1.5	0.06476	0.0251	2.69518	40.9479	-5.25004	46.19793
	--	0.06716	0.02492	--			
