DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-3.14556	1.5	5.8694E-4	0.02996	0.11799	-5242.59851	-5397.88152	155.28302
-3.28579	1.5	0.00351	0.02974	0.21711	-5476.32409	-5333.97106	-142.35303
-3.12079	1.5	0.00641	0.02952	0.31694	-5201.31241	-5218.39823	17.08581
-3.08203	1.5	0.00929	0.0293	0.4175	-5136.71722	-4985.7941	-150.92313
-2.63251	1.5	0.01214	0.02909	0.51877	-4387.51889	-4468.43175	80.91286
-1.943	1.5	0.01498	0.02888	0.62077	-3238.3255	-3381.69192	143.36643
-1.29687	1.5	0.01779	0.02866	0.72348	-2161.4569	-1930.24479	-231.21212
-0.4057	1.5	0.02059	0.02845	0.82691	-676.17366	-942.1142	265.94054
-0.54573	1.5	0.02336	0.02825	0.93105	-909.5487	-488.5659	-420.9828
-0.10143	1.5	0.02611	0.02804	1.03592	-169.05038	-284.45626	115.40588
0.18887	1.5	0.02883	0.02783	1.14151	314.78386	-182.29609	497.07996
0.0178	1.5	0.03154	0.02763	1.24781	29.66998	-125.41278	155.08275
-0.2333	1.5	0.03422	0.02743	1.35484	-388.83086	-90.91675	-297.9141
0.02672	1.5	0.03689	0.02723	1.46258	44.53147	-68.56084	113.09231
0.16953	1.5	0.03953	0.02703	1.57104	282.54803	-53.29629	335.84432
-0.03562	1.5	0.04215	0.02683	1.68022	-59.37128	-42.42836	-16.94292
-0.02294	1.5	0.04475	0.02663	1.79012	-38.23439	-34.42118	-3.81321
-0.0514	1.5	0.04732	0.02644	1.90073	-85.67399	-28.35069	-57.3233
0.2823	1.5	0.04988	0.02624	2.01207	470.50249	-23.63539	494.13788
-0.22546	1.5	0.05241	0.02605	2.12413	-375.75942	-19.89515	-355.86427
-0.06512	1.5	0.05493	0.02586	2.2369	-108.53154	-16.87334	-91.6582
-0.12267	1.5	0.05742	0.02567	2.35039	-204.45831	-14.39183	-190.06648
-0.12007	1.5	0.05988	0.02548	2.4646	-200.12366	-12.32394	-187.79972
0.03419	1.5	0.06233	0.02529	2.57953	56.98617	-10.57765	67.56382
0.2566	1.5	0.06476	0.0251	2.69518	427.66626	-9.08487	436.75113
-0.07199	1.5	0.06716	0.02492	2.81155	-119.98841	-7.79436	-112.19405
	--	0.06954	0.02474	--			
