DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-2.77673	1.5	5.8694E-4	0.02996	0.11799	-4627.87592	-4536.88043	-90.99549
-2.56568	1.5	0.00351	0.02974	0.21711	-4276.13212	-4501.89274	225.76062
-2.70482	1.5	0.00641	0.02952	0.31694	-4508.03003	-4440.5557	-67.47433
-2.55526	1.5	0.00929	0.0293	0.4175	-4258.76507	-4320.80726	62.04219
-2.45075	1.5	0.01214	0.02909	0.51877	-4084.58077	-4053.26549	-31.31528
-2.1453	1.5	0.01498	0.02888	0.62077	-3575.49342	-3401.16746	-174.32596
-1.25447	1.5	0.01779	0.02866	0.72348	-2090.78923	-2163.14455	72.35532
-0.56252	1.5	0.02059	0.02845	0.82691	-937.52979	-1022.36167	84.83187
-0.25116	1.5	0.02336	0.02825	0.93105	-418.59354	-477.93341	59.33987
-0.23028	1.5	0.02611	0.02804	1.03592	-383.79587	-256.05796	-127.7379
-0.0732	1.5	0.02883	0.02783	1.14151	-122.00479	-155.08602	33.08123
-0.26226	1.5	0.03154	0.02763	1.24781	-437.09613	-102.61937	-334.47676
-0.13908	1.5	0.03422	0.02743	1.35484	-231.80746	-72.33429	-159.47317
-0.08125	1.5	0.03689	0.02723	1.46258	-135.42012	-53.40461	-82.01551
-0.24636	1.5	0.03953	0.02703	1.57104	-410.60442	-40.82741	-369.77701
-0.27952	1.5	0.04215	0.02683	1.68022	-465.87043	-32.0597	-433.81073
-0.10872	1.5	0.04475	0.02663	1.79012	-181.20726	-25.70624	-155.50102
-0.11325	1.5	0.04732	0.02644	1.90073	-188.74322	-20.95273	-167.79049
0.01172	1.5	0.04988	0.02624	2.01207	19.52723	-17.29919	36.82642
-0.03573	1.5	0.05241	0.02605	2.12413	-59.54538	-14.42545	-45.11993
-0.26831	1.5	0.05493	0.02586	2.2369	-447.17689	-12.11904	-435.05785
-0.19639	1.5	0.05742	0.02567	2.35039	-327.31594	-10.23462	-317.08132
-0.17739	1.5	0.05988	0.02548	2.4646	-295.64686	-8.67014	-286.97672
	--	0.06233	0.02529	--			
