DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-2.65828	1.3001	5.8694E-4	0.02996	0.10484	-5099.52856	-73.95727	-5025.57128
-2.66661	1.3001	0.00312	0.02977	0.19062	-5105.58168	-96.8747	-5008.70698
-2.60785	1.3001	0.00564	0.02958	0.27694	-4982.57619	0.25268	-4982.82887
-2.63407	1.3001	0.00814	0.02939	0.36381	-5022.92154	-82.34193	-4940.57961
-2.60778	1.3001	0.01062	0.0292	0.45121	-4962.222	-96.81161	-4865.41039
-2.34433	1.3001	0.01309	0.02902	0.53915	-4445.42461	269.77932	-4715.20393
-2.22385	1.3001	0.01555	0.02883	0.62764	-4203.48237	166.98623	-4370.4686
-1.89498	1.3001	0.01798	0.02865	0.71666	-3560.75593	-26.67379	-3534.08214
-1.25374	1.3001	0.0204	0.02847	0.80622	-2317.31495	-215.45731	-2101.85765
-0.41517	1.3001	0.02281	0.02829	0.89633	-694.34313	271.25484	-965.59797
-0.61628	1.3001	0.02519	0.02811	0.98697	--	--	-460.69718
-0.16842	1.3001	0.02757	0.02793	1.07815	-198.76744	54.35307	-253.12051
-0.14607	1.3001	0.02992	0.02775	1.16988	-145.14305	11.12815	-156.27119
-0.10168	1.3001	0.03226	0.02758	1.26214	-49.07596	55.77891	-104.85486
-0.10939	1.3001	0.03458	0.0274	1.35494	-53.13725	21.54433	-74.68158
-0.1564	1.3001	0.03689	0.02723	1.44829	-132.71425	-77.13366	-55.58059
-0.11387	1.3001	0.03918	0.02705	1.54217	-40.02849	2.73402	-42.76251
-0.31428	1.3001	0.04146	0.02688	1.63659	--	--	-33.75537
-0.15525	1.3001	0.04371	0.02671	1.73155	-97.626	-70.44004	-27.18595
	--	0.04596	0.02654	--			
