DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-2.58002	1.3	5.8694E-4	0.02996	0.10483	-4961.58088	-4975.18042	13.59954
-2.68984	1.3	0.00312	0.02977	0.19061	-5172.76177	-4955.68659	-217.07517
-2.63931	1.3	0.00564	0.02958	0.27692	-5075.58838	-4926.44373	-149.14465
-2.42834	1.3	0.00814	0.02939	0.36378	-4669.88373	-4880.13576	210.25203
-2.62456	1.3	0.01062	0.0292	0.45118	-5047.22933	-4801.29975	-245.92958
-2.19239	1.3	0.01309	0.02902	0.53911	-4216.12524	-4653.95825	437.83301
-2.27499	1.3	0.01554	0.02883	0.62759	-4374.97225	-4347.93113	-27.04112
-1.88595	1.3	0.01798	0.02865	0.71661	-3626.81887	-3679.72288	52.90402
-1.38141	1.3	0.0204	0.02847	0.80616	-2656.5604	-2498.35294	-158.20745
-0.62259	1.3	0.0228	0.02829	0.89626	-1197.28707	-1323.96757	126.6805
-0.42236	1.3	0.02519	0.02811	0.98689	-812.22244	-666.60778	-145.61467
-0.21194	1.3	0.02756	0.02793	1.07807	-407.58217	-368.13969	-39.44247
0.0442	1.3	0.02992	0.02775	1.16979	85.0064	-225.67219	310.67859
0.0916	1.3	0.03226	0.02758	1.26204	176.15788	-150.12535	326.28323
0.067	1.3	0.03458	0.0274	1.35484	128.84618	-106.1199	234.96608
0.01599	1.3	0.03689	0.02723	1.44817	30.75721	-78.50081	109.25801
-0.13489	1.3	0.03918	0.02705	1.54205	-259.40613	-60.11961	-199.28651
-0.00995	1.3	0.04145	0.02688	1.63646	-19.1423	-47.30212	28.15982
-0.13612	1.3	0.04371	0.02671	1.73142	-261.76037	-38.01956	-223.74081
-0.21569	1.3	0.04595	0.02654	1.82691	-414.78988	-31.08336	-383.70653
-0.03957	1.3	0.04818	0.02637	1.92294	-76.08841	-25.76211	-50.3263
0.0292	1.3	0.05039	0.0262	2.01952	56.15334	-21.58674	77.74008
	--	0.05258	0.02604	--			
